Nederlands;Deutsch;Englisch;Type;Comment
kans, de;Die Chance / Möglichkeit;;N;Kans op onweer (Chance auf Unwetter)
gebeurtenis, de;Das Ereignis, Erlebnis;;N;Na een traumatische gebeurtenis
Leedvermaak, de;Die Schadenfreude;;N;
waarschuwen;Warnen;;V;HetKNMI waarschuwt voor noodweer
noodweer, de;Das Unwetter;;N;
Buik, de;Der Bauch;;N;
Enkel, de;Der Knöchel;;N;
voelen;fühlen;;V;
hoofd, het;Der Kopf;;N;Hij is er met zijn hoofd niet bij
bot, het;Der Knochen;;N;De botten zijn gebroken
plaatselijk;Örtlich, lokal, einheimisch;;A;Een plaatselijke verdoving
verdoving, de;Die Betäubung;;N;
zenuwachtig;Nervös;;A;
struikelen;stolpern;;V;Ik heb mijn enkel verstuikt toen ik over een losse steen struikelde
verstuiken;verstauchen;;V;
stoot, de;Der Stoß;;N;Stoot en stoten.
Ik voel me niet zo lekker;Ich fühle mich nicht so wohl;;R;
naast;neben;;B;De dokter woont in het huis naast mij
Beterschap wensen;Gute Besserung wünschen;;R;
verpleger, de;Der Pfleger;;N;
Er zijn allerlei onderzoeken gedaan;Es wurden allerlei Untersuchungen getan.;;R;
Ziekenhuis, het;Das Krankenhaus;;N;
tegelijk;Gleichzeitig;;B;Tegelijk op bezoek krijgen
aardig;nett;;A;Aardige artsen en verplegers
afdeling, de;Die Abteilung;;N;
afstandsbedining, de ;Die Fernbedienung;;N;
Tekort, het;Der Mangel;;N;Er is en tekort aan artsen
Oorzaak, de;Die Ursache;;N;
pijn, de;Der Schmerz;;N;
Er is;Es gibt;;B;Er is een problem. / Zijn er problemen?
Pijnstiller, de;Die Schmerztablette;;N;Zijn er nog pijnstillers?
Zorg, de;Die Pflege;;N;Er is veel werk in de zorg
EHBO-ers;Sanitäter;;N;Er zijn veel EHBO-ers bij het evenement
ervan;Daraus;;B;Ik leer ervan
eruit;Heraus;;B;Ik haal hem eruit
ervoor;Dafür;;B;Ik heb ervoor geleerd
